,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ulica [nazwa skrócona],Ulica [nazwa pełna],Numery,Dzielnica,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,sek.
Reymonta,Władysława Reymonta,34,WRZESZCZ GÓRNY,x,,x,,x,,x,,,x,,,x,,x,,x,,3
Rodzinna,Rodzinna,,WRZESZCZ GÓRNY,,,,,,,,,,,,,,,,,,,3
Rolna,Rolna,,STRZYŻA,,x,,,x,,x,,,x,,,,x,,,x,,3
Romańska,Romańska,,WRZESZCZ GÓRNY,,,x,,x,,x,,,x,,,,,x,,x,,3
Romera,Eugeniusza Romera,,WRZESZCZ GÓRNY,x,,,x,,,x,,,x,,,x,,,x,,,3
Różyckiego,Ludomira Różyckiego,,STRZYŻA,x,,,x,,,x,,,x,,,x,,,x,,,3
Saperów,Saperów,,WRZESZCZ DOLNY,x,,,x,,,x,,,x,,,x,,,x,,,3
Secesyjna,Secesyjna,,WRZESZCZ GÓRNY,,,x,,x,,x,,,x,,,,,x,,x,,3
Siedlicka,Siedlicka,,WRZESZCZ GÓRNY,,x,,,x,,,x,,,x,,,x,,,x,,3
Sienkiewicza,Henryka Sienkiewicza,,WRZESZCZ GÓRNY,,x,,,x,,,x,,,x,,,x,,,x,,3
Skłodowskiej-Curie,Marii Skłodowskiej-Curie,,ANIOŁKI,x,,,x,,,,x,,,x,,x,,,x,,,3
Skwer Gałuszki,Skwer prof. Pawła Gałuszki,Inne,STRZYŻA,,x,,,x,,x,,,x,,,,x,,,x,,3
Skwer Kolbergera,Skwer Krzysztofa Kolbergera,Inne,STRZYŻA,,,,,,,,,,,,,,,,,,,3
Słonimskiego,Antoniego Słonimskiego,,WRZESZCZ GÓRNY,x,,x,,x,,x,,,x,,,x,,x,,x,,3
Słowackiego,Juliusza Słowackiego,2,WRZESZCZ GÓRNY,x,,,x,,,,x,,,x,,x,,,x,,,3
Słowackiego,Juliusza Słowackiego,"29, 36, 39-40, 47-49-51, 55-61 nieparz.",WRZESZCZ GÓRNY,x,,x,,x,,x,,,x,,,x,,x,,x,,3
Słowackiego,Juliusza Słowackiego,pozostałe numery,WRZESZCZ GÓRNY,x,,,x,,,x,,,x,,,x,,,x,,,3
Smoluchowskiego,Mariana Smoluchowskiego,,ANIOŁKI,,x,,,x,,,x,,,x,,,x,,,x,,3
Sobieskiego,Jana Sobieskiego,,WRZESZCZ GÓRNY,,x,,,x,,,x,,,x,,,x,,,x,,3
Sobótki,Sobótki,10AB,WRZESZCZ GÓRNY,x,,x,,x,,,x,,,x,,x,,x,,x,,3
Sobótki,Sobótki,pozostałe numery,WRZESZCZ GÓRNY,,x,,,x,,,x,,,x,,,x,,,x,,3
Sochaczewska,Sochaczewska,1ABC,WRZESZCZ DOLNY,x,,x,,x,,x,,x,,,,x,,x,,x,,3
Sochaczewska,Sochaczewska,pozostałe numery,WRZESZCZ DOLNY,,x,,,x,,x,,x,,,,,x,,,x,,3
Solskiego,Ludwika Solskiego,,BRZEŹNO,,,,,,,,,,,,,,,,,,,3
Sosnowa,Sosnowa,,WRZESZCZ GÓRNY,,,,,,,,,,,,,,,,,,,3
Srebrniki,Srebrniki,,WRZESZCZ GÓRNY,x,,,x,,,x,,,x,,,x,,,x,,,3
Stachury,Edwarda Stachury,,WRZESZCZ GÓRNY,,,,,,,,,,,,,,,,,,,3
Staszica,Stanisława Staszica,,WRZESZCZ GÓRNY,x,,,x,,,x,,,x,,,x,,,x,,,3
Sternicza,Sternicza,,BRZEŹNO,,x,,,x,,x,,x,,,,,x,,,x,,3
Strakowskiego,Jana Strakowskiego,,WRZESZCZ DOLNY,,x,,,x,,x,,,x,,,,x,,,x,,3
Suwalska,Suwalska,,WRZESZCZ GÓRNY,,,,,,,,,,,,,,,,,,,3
Sybiraków,Sybiraków,,BRZEŹNO,,,,,,,,,,,,,,,,,,,3
Sychty,księdza Bernarda Sychty,"1, 3, 5, 7, 11, 28",STRZYŻA,,x,,,x,,x,,,x,,,,x,,,x,,3
Sychty,księdza Bernarda Sychty,pozostałe numery,STRZYŻA,x,,x,,x,,x,,,x,,,x,,x,,x,,3
Sygietyńskiego,Tadeusza Sygietyńskiego,,STRZYŻA,,,,,,,,,,,,,,,,,,,3
Syrokomli,Władysława Syrokomli,,WRZESZCZ GÓRNY,,x,,,x,,x,,,x,,,,x,,,x,,3
Szymanowskiego,Karola Szymanowskiego,,STRZYŻA,x,,,x,,,x,,,x,,,x,,,x,,,3
Śniadeckich,Śniadeckich,,ANIOŁKI,,x,,,x,,,x,,,x,,,x,,,x,,3
Świdnicka,Świdnicka,,ANIOŁKI,x,,,x,,,,x,,,x,,x,,,x,,,3
Topolowa,Topolowa,,WRZESZCZ GÓRNY,x,,,x,,,x,,,x,,,x,,,x,,,3
Towarowa,Towarowa,,ANIOŁKI,,,,,,,,,,,,,,,,,,,3
Traugutta,Romualda Traugutta,2-14 parz. 1-29 nieparz.,ANIOŁKI,,x,,,x,,,x,,,x,,,x,,,x,,3
Traugutta,Romualda Traugutta,16 do końca parz.; 31 do końca nieparz.,WRZESZCZ GÓRNY,,x,,,x,,,x,,,x,,,x,,,x,,3
Trawki,Trawki,"1, 3, 5, 7",WRZESZCZ GÓRNY,x,,,x,,,x,,,x,,,x,,,x,,,3
Trawki,Trawki,pozostałe numery,WRZESZCZ GÓRNY,x,,x,,x,,x,,,x,,,x,,x,,x,,3
Trubadurów,Trubadurów,,ANIOŁKI,,x,,,x,,,x,,,x,,,x,,,x,,3
Tuwima,Juliana Tuwima,,ANIOŁKI,,x,,,x,,,x,,,x,,,x,,,x,,3
Uczniowska,Uczniowska,45 do końca,BRZEŹNO,,x,,,x,,,x,,,x,,,x,,,x,,3
Uphagena,Jana Uphagena,,WRZESZCZ GÓRNY,x,,,x,,,,x,,,x,,x,,,x,,,3
Wajdeloty,Wajdeloty,"2A, 13, 20, 28, 28A",WRZESZCZ DOLNY,x,,,x,,,x,,,x,,,x,,,x,,,3
Wajdeloty,Wajdeloty,pozostałe numery,WRZESZCZ DOLNY,x,,x,,x,,x,,,x,,,x,,x,,x,,3
Walecznych,Walecznych,,BRZEŹNO,x,,x,,x,,,,x,,x,,x,,x,,x,,3
Wallenroda,Konrada Wallenroda,11A,WRZESZCZ DOLNY,x,,x,,x,,x,,,x,,,x,,x,,x,,3
Wallenroda,Konrada Wallenroda,"19, 25",WRZESZCZ DOLNY,x,,,x,,,x,,,x,,,x,,,x,,,3
Waryńskiego,Ludwika Waryńskiego,"2C, 40, 45",WRZESZCZ GÓRNY,x,,x,,x,,,x,,,x,,x,,x,,x,,3
Waryńskiego,Ludwika Waryńskiego,"9,30/31,34,17, 19, 20, 22, 35-37",WRZESZCZ DOLNY,,x,,,x,,x,,,x,,,,x,,,x,,3
Waryńskiego,Ludwika Waryńskiego,"1,12",WRZESZCZ GÓRNY,,x,,,x,,,x,,,x,,,x,,,x,,3
Wassowskiego,Józefa Wassowskiego,,WRZESZCZ GÓRNY,,x,,,x,,,x,,,x,,,x,,,x,,3
Wczasy,Wczasy,,BRZEŹNO,,x,,,x,,,,x,,x,,,x,,,x,,3
Węzeł Kliniczna,Węzeł Kliniczna,Inne,WRZESZCZ DOLNY,,,,,,,,,,,,,,,,,,,3
Wileńska,Wileńska,"2-42 parz., 1-35 nieparz.",WRZESZCZ GÓRNY,,,,,,,,,,,,,,,,,,,3
Wilka - Krzyżanowskiego,płk. Wilka - Krzyżanowskiego,,STRZYŻA,x,,,,x,,x,,,x,,,x,,,,x,,3
Winogronowa,Winogronowa,,WRZESZCZ DOLNY,,,,,,,,,,,,,,,,,,,3
Wita Stwosza,Wita Stwosza,"106-112 parz., 75-81 nieparz; ",STRZYŻA,x,,x,,x,,x,,,x,,,x,,x,,x,,3
Własna Strzecha,Własna Strzecha,,WRZESZCZ GÓRNY,x,,,x,,,,x,,,x,,x,,,x,,,3
Wojska Polskiego,Aleja Wojska Polskiego,1,STRZYŻA,,x,,,x,,x,,,x,,,,x,,,x,,3
Wojska Polskiego,Aleja Wojska Polskiego,pozostałe numery,STRZYŻA,x,,x,,x,,x,,,x,,,x,,x,,x,,3
Wrocławska,Wrocławska,,ANIOŁKI,,x,,,x,,,x,,,x,,,x,,,x,,3
Wronia,Wronia,,ANIOŁKI,,x,,,x,,,x,,,x,,,x,,,x,,3
Wróblewskiego,Zygmunta Wróblewskiego,,WRZESZCZ GÓRNY,x,,,x,,,,x,,,x,,x,,,x,,,3
Wrzeszczańska,Wrzeszczańska,,WRZESZCZ DOLNY,,,,,,,,,,,,,,,,,,,3
Współczesna,Współczesna,,WRZESZCZ GÓRNY,x,,x,,x,,x,,,x,,,x,,x,,x,,3
Wyspiańskiego,Stanisława Wyspiańskiego,,WRZESZCZ DOLNY,x,,,x,,,x,,,x,,,x,,,x,,,3
Zabytkowa,Zabytkowa,,WRZESZCZ GÓRNY,x,,x,,x,,x,,,x,,,x,,x,,x,,3
Zamenhofa,Ludwika Zamenhofa,,STRZYŻA,x,,,x,,,x,,,x,,,x,,,x,,,3
Zaścianek,Zaścianek,,WRZESZCZ DOLNY,,,,,,,,,,,,,,,,,,,3
Zator Przytockiego,ks. Józefa Zator Przytockiego,,WRZESZCZ GÓRNY,x,,x,,x,,,x,,,x,,x,,x,,x,,3
Zawiszy Czarnego,Zawiszy Czarnego,2,WRZESZCZ DOLNY,x,,x,,x,,x,,,x,,,x,,x,,x,,3
Zawiszy Czarnego,Zawiszy Czarnego,pozostałe numery,WRZESZCZ DOLNY,x,,,x,,,x,,,x,,,x,,,x,,,3
Zbyszka z Bogdańca,Zbyszka z Bogdańca,,WRZESZCZ DOLNY,x,,,x,,,x,,,x,,,x,,,x,,,3
Zdrojowa,Zdrojowa,,BRZEŹNO,,,x,,x,,,,x,,x,,,,x,,x,,3
Zelwerowicza,Aleksandra Zelwerowicza,,BRZEŹNO,,,,,,,,,,,,,,,,,,,3
Zubrzyckiego,Franciszka Zubrzyckiego,,WRZESZCZ GÓRNY,,,,,,,,,,,,,,,,,,,3
Zwycięstwa,Aleja Zwycięstwa,13,ANIOŁKI,x,,x,,x,,,x,,,x,,x,,x,,x,,3
Zwycięstwa,Aleja Zwycięstwa,33-57,ANIOŁKI,,x,,,x,,,x,,,x,,,x,,,x,,3
Zwycięstwa,Aleja Zwycięstwa,24-26,WRZESZCZ GÓRNY,,x,,,x,,x,,,x,,,,x,,,x,,3
Żeglarska,Żeglarska,,STRZYŻA,,x,,,x,,x,,,x,,,,x,,,x,,3
Żeleńskiego,Władysława Żeleńskiego,,STRZYŻA,x,,,x,,,x,,,x,,,x,,,x,,,3
Żniwna,Żniwna,,WRZESZCZ DOLNY,,,,,,,,,,,,,,,,,,,3
Żołnierska,Żołnierska,,ANIOŁKI,,,,,,,,,,,,,,,,,,,3
Żołnierzy Wyklętych,Aleja Żołnierzy Wyklętych,,WRZESZCZ DOLNY,,,,,,,,,,,,,,,,,,,3
Żołnierzy Wyklętych,Aleja Żołnierzy Wyklętych,,WRZESZCZ GÓRNY,,,,,,,,,,,,,,,,,,,3
Żywiecka,Żywiecka,,WRZESZCZ DOLNY,,x,,,x,,,,x,,x,,,x,,,x,,3
,,,,,,,,,,,,,,,,,,,,,,
,,,Legenda:,,,,,Brak zabudowy wielolokalowej na danej ulicy,,,,,,,,,,,,,,
