,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ulica [skrócona nazwa],Ulica [pełna nazwa],Numery,Dzielnica,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,Sek
Gabrysiak,Aleksandry Gabrysiak,,JASIEŃ,,x,,,,,,x,,,,,,x,,,,,5
Gajowa,Gajowa,,OSOWA,,,,,x,,,,,,x,,,,,,x,,5
Galaktyczna,Galaktyczna,,OSOWA,,,,,x,,,,,,x,,,,,,x,,5
Galileusza,Galileusza,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Garczyńska,Garczyńska,,JASIEŃ,,x,,,,,,x,,,,,,x,,,,,5
Gdańca,Pawła Gdańca,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Gdyńska,Gdyńska,,ŻABIANKA-WEJ.-JEL.-TYS.,,,,x,,,,x,,,,,,,,x,,,5
Gnieźnieńska,Gnieźnieńska,,OSOWA,,x,,,,,,x,,,,,,x,,,,,5
Gołuńska,Gołuńska,,KOKOSZKI,,,x,,,,,,,,x,,,,x,,,,5
Goplańska,Goplańska,,KOKOSZKI,,,x,,,,,,,,x,,,,x,,,,5
Goska,Goska,,JASIEŃ,,x,,,,,,x,,,,,,x,,,,,5
Gospody,Gospody,,ŻABIANKA-WEJ.-JEL.-TYS.,,,,x,,,,x,,,,,,,,x,,,5
Gostyńska,Gostyńska,,KOKOSZKI,x,,,,,,,x,,,,,x,,,,,,5
Goszyńska,Goszyńska,,JASIEŃ,,x,,,,,,x,,,,,,x,,,,,5
Gowidlińska,Gowidlińska,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Górskiego,Kazimierza Górskiego,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Gronostajowa,Gronostajowa,,JASIEŃ,x,,,,,,,x,,,,,x,,,,,,5
Grottgera,Artura Grottgera,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Grunwaldzka,Aleja Grunwaldzka,"250-612 parz., 295-617 nieparz.",OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Gryfa Pomorskiego,Gryfa Pomorskiego,,OSOWA,,x,,,,,,,,,x,,,x,,,,,5
Grzybowa,Grzybowa,,KOKOSZKI,,,,x,,,,x,,,,,,,,x,,,5
Guderskiego,Konrada Guderskiego,51 do końca,JASIEŃ,,x,,,,,,x,,,,,,x,,,,,5
Harfowa,Harfowa,,MATARNIA,,x,,,,,,x,,,,,,x,,,,,5
Heleny,Heleny,,OSOWA,,,,x,,,,,,,x,,,,,x,,,5
Heliosa,Heliosa,,OSOWA,,,x,,,,,,,,x,,,,x,,,,5
Helska ,Helska ,,ŻABIANKA-WEJ.-JEL.-TYS.,,,,x,,,,x,,,,,,,,x,,,5
Herkulesa,Herkulesa,,OSOWA,,,,,x,,,,,,x,,,,,,x,,5
Hermesa,Hermesa,,OSOWA,,,,x,,,,x,,,,,,,,x,,,5
Herosa,Herosa,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Hery,Hery,,OSOWA,,,,,x,,,x,,,,,,,,,x,,5
Hestii,Hestii,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Hołdu Pruskiego,Hołdu Pruskiego,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Homera,Homera,,OSOWA,,,,x,,,,x,,,,,,,,x,,,5
Horacego,Horacego,,OSOWA,,,,x,,,,x,,,,,,,,x,,,5
Husa,Jana Husa,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Husytów,Husytów,,ŻABIANKA-WEJ.-JEL.-TYS.,,,,x,,,,x,,,,,,,,x,,,5
Ikara,Ikara,,MATARNIA,,,x,,,,,x,,,,,,,x,,,,5
Iławska,Iławska,,OSOWA,,x,,,,,,,,,x,,,x,,,,,5
