,,Lokalizacja,,,,,
Lp,Dzielnica,Ulica,Numer,Opis,Data,Godzina przyjazdu,Godzina odjazdu
97,Osowa,ul. Daru Pomorza,9,(miejsce postojowe od szczytu budynku),27.09.2014,10:10,10:25
98,Osowa,ul. Siedleckiego,16,(przy budynku handlowo-uslugowym,27.09.2014,10:30,10:45
99,Osowa,ul. Kwiatkowskiego,7,"(przy altanie obok sklepu ""Biedronka""",27.09.2014,10:50,11:05
100,Osowa,ul. Korsarzy,,(parking w pobliżu ul. Siedleckiego),27.09.2014,11:10,11:25
101,Osowa,ul. Chełmińska,5,(posesja),27.09.2014,11:30,11:45
102,Osowa,ul. Myśliborska,,(boisko na rogu z ul. Krajeńską ),27.09.2014,11:55,12:10
103,Osowa,ul. Wenus,21,(plac naprzeciwko posesji),27.09.2014,12:20,12:35
104,Osowa,ul. Temidy i ul. Konstelacji,,(parking na rogu),27.09.2014,12:40,12:55
105,Piecki-Migowo,ul. Czubińskiego,4,(parking),04.10.2014,12:20,12:35
106,Piecki-Migowo,ul. Myczkowskiego,3,(parking),04.10.2014,12:40,12:55
107,Piecki-Migowo,ul. Wileńska,56,(przy szlabanie),04.10.2014,13:00,13:15
108,Piecki-Migowo,ul. Na Wzgórzu,20,(plac przy posesji),04.10.2014,13:20,13:35
109,Piecki-Migowo,ul. Piecewska,20,(parking niestrzeżony),04.10.2014,13:40,13:55
110,Piecki-Migowo,ul. Arctowskiego,1,"(od wejścia sklepu ""Biedronka"")",04.10.2014,14:00,14:15
111,Piecki-Migowo,ul. Kruczkowskiego,19,(zatoka parkingowa),04.10.2014,14:20,14:35
112,Piecki-Migowo,ul. Piekarnicza,30-40 i 15-23,(przy altanie),11.10.2014,08:30,08:45
113,Piecki-Migowo,ul. Bulońska,44/46,(parking),11.10.2014,09:10,09:25
114,Piecki-Migowo,ul. Powstania Kościuszkowskiego,1-2,(parking),11.10.2014,09:30,09:45
115,Piecki-Migowo,ul. Królewskie Wzgórze,13-15,(parking),11.10.2014,09:50,10:05
